,Median_House_Value,Median_Income,Median_Age,Tot_Rooms,Tot_Bedrooms,Population,Households,Latitude,Longitude,Distance_to_coast,Bedrooms_Per_House,Closest_University,Distance_to_University_m
0,452600.0,8.3252,41,880,129,322,126,37.88,-122.23,9263.04077285038,1.0238095238095237,"University of California, Berkeley",1521.0
1,358500.0,8.3014,21,7099,1106,2401,1138,37.86,-122.22,10225.7330715424,0.9718804920913884,"University of California, Berkeley",2859.0
2,352100.0,7.2574,52,1467,190,496,177,37.85,-122.24,8259.08510932293,1.073446327683616,Pitzer College,1350.0
3,341300.0,5.6431,52,1274,235,558,219,37.85,-122.25,7768.0865708364,1.0730593607305936,Pitzer College,768.0
4,342200.0,3.8462,52,1627,280,565,259,37.85,-122.25,7768.0865708364,1.0810810810810811,Pitzer College,768.0
5,269700.0,4.0368,52,919,213,413,193,37.85,-122.25,7768.0865708364,1.1036269430051813,Pitzer College,768.0
6,299200.0,3.6591,52,2535,489,1094,514,37.84,-122.25,6843.02084737498,0.9513618677042801,Pitzer College,1852.0
7,241400.0,3.12,52,3104,687,1157,647,37.84,-122.25,6843.02084737498,1.061823802163833,Pitzer College,1852.0
8,226700.0,2.0804,42,2555,665,1206,595,37.84,-122.26,6363.94801261769,1.1176470588235294,Pitzer College,1934.0
9,261100.0,3.6912,52,3549,707,1551,714,37.84,-122.25,6843.02084737498,0.9901960784313726,Pitzer College,1852.0
10,281500.0,3.2031,52,2202,434,910,402,37.85,-122.26,7349.62084160981,1.0796019900497513,Pitzer College,948.0
11,241800.0,3.2705,52,3503,752,1504,734,37.85,-122.26,7349.62084160981,1.0245231607629428,Pitzer College,948.0
12,213500.0,3.075,52,2491,474,1098,468,37.85,-122.26,7349.62084160981,1.0128205128205128,Pitzer College,948.0
13,191300.0,2.6736,52,696,191,345,174,37.84,-122.26,6363.94801261769,1.0977011494252873,Pitzer College,1934.0
14,159200.0,1.9167,52,2643,626,1212,620,37.85,-122.26,7349.62084160981,1.0096774193548388,Pitzer College,948.0
15,140000.0,2.125,50,1120,283,697,264,37.85,-122.26,7349.62084160981,1.071969696969697,Pitzer College,948.0
16,152500.0,2.775,52,1966,347,793,331,37.85,-122.27,7016.67724394864,1.0483383685800605,Pitzer College,1658.0
17,155500.0,2.1202,52,1228,293,648,303,37.85,-122.27,7016.67724394864,0.966996699669967,Pitzer College,1658.0
18,158700.0,1.9911,50,2239,455,990,419,37.84,-122.26,6363.94801261769,1.0859188544152745,Pitzer College,1934.0
19,162900.0,2.6033,52,1503,298,690,275,37.84,-122.27,5976.28805827603,1.0836363636363637,Pitzer College,2364.0
20,147500.0,1.3578,40,751,184,409,166,37.85,-122.27,7016.67724394864,1.108433734939759,Pitzer College,1658.0
21,159800.0,1.7135,42,1639,367,929,366,37.85,-122.27,7016.67724394864,1.0027322404371584,Pitzer College,1658.0
22,113900.0,1.725,52,2436,541,1015,478,37.84,-122.27,5976.28805827603,1.1317991631799162,Pitzer College,2364.0
23,99700.0,2.1806,52,1688,337,853,325,37.84,-122.27,5976.28805827603,1.0369230769230768,Pitzer College,2364.0
24,132600.0,2.6,52,2224,437,1006,422,37.84,-122.27,5976.28805827603,1.0355450236966826,Pitzer College,2364.0
25,107500.0,2.4038,41,535,123,317,119,37.85,-122.28,6781.86317450868,1.0336134453781514,Institute of Buddhist Studies,2251.0
26,93800.0,2.4597,49,1130,244,607,239,37.85,-122.28,6781.86317450868,1.0209205020920502,Institute of Buddhist Studies,2251.0
27,105500.0,1.808,52,1898,421,1102,397,37.85,-122.28,6781.86317450868,1.0604534005037782,Institute of Buddhist Studies,2251.0
28,108900.0,1.6424,50,2082,492,1131,473,37.84,-122.28,5698.72690317439,1.040169133192389,Pitzer College,2997.0
29,132000.0,1.6875,52,729,160,395,155,37.84,-122.28,5698.72690317439,1.032258064516129,Pitzer College,2997.0
30,122300.0,1.9274,49,1916,447,863,378,37.84,-122.28,5698.72690317439,1.1825396825396826,Pitzer College,2997.0
31,115200.0,1.9615,52,2153,481,1168,441,37.84,-122.28,5698.72690317439,1.090702947845805,Pitzer College,2997.0
